Samurai,"samurai, japanese, sword, warrior, traditional, katana, character",Set Name,The Land of The Rising Sun
Ronin,"sword, samurai, ronin, character, japanese, Straw, hat",Set Key,"japanese, culture, traditional, architecture, nature, god, history, samurai, people, ghost, tales, folk"
Geisha,"geisha, traditional, japanese, kimono, beautiful, umbrella",,
Japanese Monk,"monk, religion, japan, japanese, flute, traditional, history",,
Japanese Monk Warrior,"japanese, warrior, monk, character, traditional, history",,
Japanese Merchants,"traditional, merchant, japanese, culture, history, historical, travel",,
Samurai Warrior,"warrior, samurai, japanese, sword, traditional, character, armor",,
Japanese Monk,"monk, religion, japanese, people, traditional, buddha",,
Daimyo,"japan, daimyo, history, japanese, warlord, shogun, history",,
Ninja,"ninja, character, warrior, japanese, sword, assassin, historical",,
Samurai Riding Horse,"samurai, warrior, horse, japanese, history, rider, horseback",,
Japanese Archer,"archer, japanese, samurai, bow, arrow, sport, archery",,
Samurai Warrior,"warrior, samurai, japanese, sword, military, soldier, bushido",,
Japanese Miko,"miko, japanese, traditional, shrine, female, culture, maiden",,
Japanese Farmer,"agriculture, japanese, farmer, people, man, worker, working",,
Kabuki,"kabuki, culture, japan, japanese, art, tradition, actor",,
Miyamoto Musashi Samurai,"samurai, japanese, history, swordsman, ronin, warrior, famous",,
Japanese Fisherman,"japanese, fisherman, asian, fish, traditional, fishing",,
Japanese SwordSmith,"swordsmith, traditional, craftsman, blacksmith, forging, sword, katana",,
Sumo,"sumo, sport, character, japanese, weight, traditional",,
Japanese Temple,"temple, japanese, traditional, culture, architecture, pagoda, building",,
The Great Buddha,"buddha, religion, big, japanese, buddhist, architecture, great",,
Japanese Temple,"temple, japanese, traditional, culture, architecture, building, religion",,
Japanese Shrine,"japanese, shrine, temple, shinto, architecture, gate",,
Japanese Castle,"castle, japanese, ancient, architecture, landmark, building, history",,
Japanese Bridge,"bridge, japanese, garden, park, architecture, traditional, water",,
Japanese Traditioanal Lamp,"lamp, japanese, traditional, culture, decoration, light, vintage",,
Japanese Tea,"japanese, cup, tea, asian, traditional, ceremony, teacup",,
Japanese Fan,"japanese, fan, traditional, paper, accessory, elegance",,
Takoyaki,"takoyaki, cuisine, food, culture, traditional, japanese, ball",,
Sakura,"sakura, flower, blossom, floral, bloom, japan, season, tree",,
Fuji mountain,"japan, mountain, fuji, landmark, nature, travel, mount",,
Onsen,"onsen, japanese, bath, water, nature, spa, spring",,
Japanese Spirit Tree,"japanese, spirit, culture, tree, tradition, nature, religion",,
Waterfall,"waterfall, nature, landscape, fall, travel, mountain, stream",,
Japanese Sea Wave,"sea, japanese, wave, ocean, nature, splash, traditional, surf",,
Japanese Rice Field,"rice, field, japanese, agriculture, farm, harvest, traditional",,
Bamboo,"bamboo, nature, leaf, japan, asian, branch, forest",,
Autumn Maple Leaf,"maple, autumn, leaf, season, fall, foliage, leaves",,
Japanese Garden,"nature, japanese, garden, landscape, tree, zen, stone",,
Bear,"bear, japanese, forrest, animal, wild, beast",,
Tiger,"tiger, animal, traditional, animal, wildlife, wild, jungle",,
Deer,"deer, animal, wild, wildlife, forest, antler, horns",,
Japanese Crane Bird,"japanese, bird, crane, animal, wing, fly, nature",,
Fox,"fox, japanese, animal, culture, wild, nature, folklore",,
Monkey,"monkey, japan, animal, japanese, macaque, primate, wildlife",,
Shiba Dog,"dog, pet, cute, shiba, animal, canine, japanese",,
Japanese Octopus,"food, octopus, japanese, japan, seafood, cuisine, delicious, cooking",,
Owl,"nature, wild, wildlife, bird, predator, owl",,
Koi Fish,"fish, japanese, koi, carp, beautiful, colorful",,
Japanese Raccoon,"japanese, raccoon, animal, tanuki, japan, wildlife, folklore",,
Kappa,"folklore, kappa, japanese, creature, mythical, monster, yokai",,
Nine Tailed Fox,"fox, japanese, animal, kitsune, mythology, creature, nine, tail, folklore",,
Oni Japanese Giant,"demon, japanese, giant, ancient, oni, monster, mace, horns",,
Tengu,"tengu, japanese, devil, demon, culture, monster",,
Japanese Women Spirit,"asian, japanese, female, spirited, woman, ghost",,
Skeleton Speceter,"specter, ghost, skeleton, halloween, horror, death, skull",,
Japanese Long Neck Ghost,"ghost, neck, japanese, long, monster, woman",,
Japanese Spirit Fire Ball,"japanese, spirit, fire, light, ball, flame",,
Japanese Umbrella Ghost,"ghost, umbrella, japanese, monster, halloween, horror, folklore",,
Japanese God Raijin,"god, traditional, japanese, demon, oni, thunder",,
Japanese God Fujin,"god, traditional, japanese, demon, oni, wind, storm",,
Japanese Dragon,"dragon, japanese, asian, traditional, monster, fantasy, culture, ancient",,
Japanese God Benzaiten,"god, japanese, japan, traditional, tales, folk, folklore",,
Japanese Folklore Momotaro,"japanese, traditional, tales, folk, folklore, momotaro, legend",,
Japanese Folklore Turtle,"japanese, traditional, tales, folk, folklore, turtle, legend",,
Japanese Folklore Kintaro,"japanese, traditional, tales, folk, folklore, kintaro, legend",,
Japanese Bonsai,"japanese, bonsai, nature, plant, tree, traditional",,
Japanese Rice Ball,"japanese, food, rice, lunch, ball, seaweed, cuisine",,
Tengu Mask,"tengu, face, demon, devil, monster, mask",,
Samurai Mask,"warrior, japanese, mask, helmet, armor, samurai, bushido",,
Japanese Lion Dog,"lion, japanese, dog, traditional, japan, guardian, stone, statue",,
Japanese Fox Mask,"fox, japanese, mask, culture, japan, mythology, folklore, ninja",,
Katana,"katana, samurai, sword, japanese, warrior, traditional, ronin, bushido",,